Date,District,Ward,Types of houses,House ownership certificate,Number of floors,Number of bedrooms,Total rooms,Area (m2),Length (m),Width (m),Price (million)/ m2,Total price (million)
08/01/2020,Hoang Mai,Thinh Liet,Alley house,Yes,4,4,8,42,8.40,5.00,67.86,2850.12
08/01/2020,Hoang Mai,Thinh Liet,Alley house,Yes,5,4,8,43,8.60,5.00,93.02,3999.86
08/01/2020,Dong Da,Thinh Quang,Townhouse,No,5,4,10,28,9.33,3.00,189.29,5300.12
08/01/2020,Long Bien,Thuong Thanh,Townhouse,Yes,5,6,12,45,9.00,5.00,60,2700
08/01/2020,Tay Ho,Thuy Khue,Townhouse,Yes,6,8,15,38,10.86,3.50,128.95,4900.1
08/01/2020,Cau Giay,Trung Hoa,Townhouse,Yes,4,4,9,42,8.40,5.00,273.81,11500.02
08/01/2020,Cau Giay,Trung Hoa,Townhouse,Yes,4,4,9,42,8.35,5.03,273.81,11500.02
08/01/2020,Dong Da,Trung Liet,Alley house,Yes,5,4,8,42,7.71,5.45,133.33,5599.86
08/01/2020,Nam Tu Liem,Trung Van,Townhouse,Yes,4,4,9,58,8.92,6.50,115.52,6700.16
08/01/2020,Hai Ba Trung,Truong Dinh,Alley house,Yes,5,5,10,50,12.50,4.00,84,4200
08/01/2020,Hoai Duc,Van Canh,Alley house,No,4,3,7,34,9.71,3.50,54.41,1849.94
08/01/2020,Dong Da,Van Chuong,Alley house,Yes,4,4,8,36,10.29,3.50,63.89,2300.04
08/01/2020,Dong Da,Van Chuong,Alley house,Yes,5,4,8,50,10.00,5.00,170,8500
08/01/2020,Ha Dong,Van Phuc,Alley house,No,5,3,7,33,9.43,3.50,66.67,2200.11
08/01/2020,Ha Dong,Van Quan,Alley house,Yes,4,3,7,35,10.51,3.33,71.43,2500.05
08/01/2020,Ha Dong,Van Quan,Townhouse,Yes,5,4,10,37,10.57,3.50,116.22,4300.14
08/01/2020,Ha Dong,Van Quan,Alley house,No,4,3,7,38,10.86,3.50,70,2660
08/01/2020,Ha Dong,Van Quan,Terraced house,Yes,5,6,12,90,11.69,7.70,95.56,8600.4
08/01/2020,Bac Tu Liem,Xuan Dinh,Alley house,Yes,5,3,7,35,9.80,3.57,74.29,2600.15
08/01/2020,Tay Ho,Xuan La,Alley house,Yes,5,3,7,30,10.00,3.00,110,3300
08/01/2020,Tay Ho,Xuan La,Alley house,Yes,5,7,12,45,9.00,5.00,84.44,3799.8
08/01/2020,Tay Ho,Xuan La,Alley house,Yes,5,6,11,72,11.08,6.50,111.11,7999.92
08/01/2020,Cau Giay,Yen Hoa,Alley house,No,4,4,8,98,12.89,7.60,77.55,7599.9
08/01/2020,Tay Ho,Yen Phu,Townhouse,Yes,6,4,11,51,10.20,5.00,245.1,12500.1
08/01/2020,Hoang Mai,Yen So,Alley house,Yes,5,6,11,50,8.93,5.60,72,3600
08/02/2020,Hai Ba Trung,Bach Khoa,Townhouse,No,3,2,6,24,6.00,4.00,74.58,1789.92
08/02/2020,Dong Da,Cat Linh,Alley house,No,5,9,16,39,11.14,3.50,110.26,4300.14
08/02/2020,Nam Tu Liem,Dai Mo,Alley house,Yes,4,4,8,39,11.14,3.50,69.23,2699.97
08/02/2020,Gia Lam,Dong Du,Alley house,Yes,3,2,6,30,10.00,3.00,50.27,1508.1
08/02/2020,Long Bien,Duc Giang,Townhouse,Yes,3,4,8,100,13.33,7.50,148,14800
08/02/2020,Long Bien,Gia Thuy,Alley house,Yes,1,1,5,40,12.01,3.33,58.75,2350
08/02/2020,Hoan Kiem,Hang Bai,Townhouse,Yes,5,4,10,56,8.62,6.50,240.18,13450.08
08/02/2020,Thanh Xuan,Khuong Dinh,Alley house,No,5,3,7,29,9.67,3.00,77.59,2249.994
08/02/2020,Thanh Xuan,Khuong Mai,Alley house,Yes,4,6,11,50,8.93,5.60,736,36800
08/02/2020,Thanh Xuan,Khuong Trung,Alley house,No,4,3,7,30,7.32,4.10,70,2100
08/02/2020,Thanh Xuan,Khuong Trung,Alley house,Yes,4,3,7,35,10.94,3.20,111.43,3900.05
08/02/2020,Thanh Xuan,Khuong Trung,Townhouse,Yes,5,4,10,68,10.46,6.50,101.47,6899.96
08/02/2020,Ha Dong,Kien Hung,Alley house,Yes,5,6,11,40,11.43,3.50,65,2600
08/02/2020,Long Bien,Long Bien,Alley house,Yes,4,3,7,38,10.86,3.50,67.11,2550.18
08/02/2020,Cau Giay,Mai Dich,Alley house,Yes,5,6,11,75,12.00,6.25,120,9000
08/02/2020,Hai Ba Trung,Minh Khai,Alley house,No,4,3,7,20,5.00,4.00,91.5,1830
08/02/2020,Hai Ba Trung,Minh Khai,Alley house,Yes,2,3,7,40,11.43,3.50,44.13,1765.2
08/02/2020,Nam Tu Liem,My Dinh 1,Townhouse,Yes,5,3,9,32,8.89,3.60,110.94,3550.08
08/02/2020,Nam Tu Liem,My Dinh 1,Alley house,Yes,4,4,8,40,11.43,3.50,74.75,2990
08/02/2020,Nam Tu Liem,My Dinh 2,Alley house,Yes,4,4,8,46,9.20,5.00,90.22,4150.12
08/02/2020,Dong Da,Nga Tu So,Townhouse,No,4,3,8,26,8.67,3.00,126.92,3299.92
08/02/2020,Cau Giay,Nghia Do,Alley house,Yes,5,3,7,30,7.94,3.78,110,3300
08/02/2020,Cau Giay,Nghia Do,Alley house,No,5,6,11,70,10.00,7.00,128.57,8999.9
08/02/2020,Ba Dinh,Ngoc Khanh,Alley house,Yes,4,4,8,40,11.43,3.50,96.25,3850
08/02/2020,Tay Ho,Phu Thuong,Alley house,Yes,5,6,11,51,8.50,6.00,107.65,5490.15
08/02/2020,Bac Tu Liem,Phuc Dien,Townhouse,Yes,3,4,8,40,11.43,3.50,87.5,3500
08/02/2020,Hoan Kiem,Phuc Tan,Alley house,No,3,2,6,20,5.00,4.00,52.5,1050
08/02/2020,Nam Tu Liem,Phuong Canh,Alley house,Yes,4,3,7,30,10.00,3.00,81.67,2450.1
08/02/2020,Tay Ho,Quang An,Townhouse,Yes,3,5,9,50,10.00,5.00,148,7400
08/02/2020,Dong Da,Quang Trung,Alley house,Yes,7,10,17,75,11.54,6.50,200,15000
08/02/2020,Hai Ba Trung,Thanh Nhan,Alley house,Yes,3,3,7,72,11.08,6.50,94.44,6799.68
08/02/2020,Thanh Xuan,Thanh Xuan Nam,Townhouse,Yes,10,8,19,65,10.00,6.50,315.38,20499.7
08/02/2020,Thanh Xuan,Thuong Dinh,Alley house,Yes,5,4,8,35,10.00,3.50,105.71,3699.85
08/02/2020,Thanh Xuan,Thuong Dinh,Alley house,Yes,4,4,8,36,10.29,3.50,93.06,3350.16
08/02/2020,Bac Tu Liem,Thuy Phuong,Alley house,Yes,3,3,7,40,10.90,3.67,62.5,2500
08/02/2020,Long Bien,Viet Hung,Alley house,Yes,5,4,8,60,9.23,6.50,99.17,5950.2
08/02/2020,Ba Dinh,Vinh Phuc,Alley house,Yes,4,3,7,32,9.14,3.50,89.06,2849.92
08/02/2020,Ba Dinh,Vinh Phuc,Alley house,No,5,3,7,33,9.43,3.50,71.21,2349.93
08/02/2020,Ha Dong,Yen Nghia,Alley house,No,4,2,6,72,10.00,7.20,21.04,1514.88
08/02/2020,Tay Ho,Yen Phu,Terraced house,Yes,5,3,10,45,9.18,4.90,144.44,6499.8
08/02/2020,Hoang Mai,Yen So,Alley house,No,4,3,7,47,9.40,5.00,56.38,2649.86
08/02/2020,Ha Dong,Yet Kieu,Townhouse,Yes,3,3,7,30,7.87,3.81,103.33,3099.9
08/03/2020,Hai Ba Trung,Bach Khoa,Alley house,Yes,5,4,8,33,9.43,3.50,87.88,2900.04
08/03/2020,Dong Da,Cat Linh,Alley house,No,4,3,7,22,5.00,4.40,88.64,1950.08
08/03/2020,Hoang Mai,Dai Kim,Alley house,No,4,4,8,50,10.00,5.00,60,3000
08/03/2020,Nam Tu Liem,Dai Mo,Townhouse,Yes,4,6,11,45,9.00,5.00,106.67,4800.15
08/03/2020,Hoang Mai,Dinh Cong,Alley house,No,5,4,8,36,12.00,3.00,76.39,2750.04
08/03/2020,Hoang Mai,Dinh Cong,Townhouse,Yes,5,5,11,54,12.56,4.30,101.85,5499.9
08/03/2020,Long Bien,Giang Bien,Alley house,Yes,2,2,6,54,10.80,5.00,42.59,2299.86
08/03/2020,Thanh Xuan,Ha Dinh,Alley house,No,5,3,7,40,11.59,3.45,96.25,3850
08/03/2020,Dong Da,Kham Thien,Alley house,No,4,2,6,24,5.85,4.10,95.83,2299.92
08/03/2020,Thanh Xuan,Khuong Trung,Alley house,Yes,5,4,8,43,8.05,5.34,165.12,7100.16
08/03/2020,Thanh Xuan,Khuong Trung,Alley house,No,3,3,7,50,10.00,5.00,73,3650
08/03/2020,Thanh Xuan,Kim Giang,Alley house,No,5,5,10,38,10.67,3.56,92.11,3500.18
08/03/2020,Thanh Xuan,Kim Giang,Alley house,Yes,4,6,11,45,7.94,5.67,62.22,2799.9
08/03/2020,Thanh Xuan,Kim Giang,Alley house,Yes,4,4,8,60,9.68,6.20,63.33,3799.8
08/03/2020,Dong Da,Kim Lien,Alley house,Yes,5,4,8,35,10.00,3.50,108.57,3799.95
08/03/2020,Ha Dong,La Khe,Alley house,Yes,4,3,7,36,10.88,3.31,66.67,2400.12
08/03/2020,Ha Dong,La Khe,Alley house,No,5,4,8,43,8.60,5.00,89.53,3849.79
08/03/2020,Hoang Mai,Linh Nam,Alley house,Yes,3,2,6,27,8.71,3.10,72.96,1969.92
08/03/2020,Cau Giay,Mai Dich,Alley house,Yes,5,3,7,35,9.72,3.60,91.43,3200.05
08/03/2020,Cau Giay,Mai Dich,Townhouse,Yes,7,8,16,55,11.00,5.00,236.36,12999.8
