Date,District,Ward,Types of houses,House ownership certificate,Number of floors,Number of bedrooms,Total rooms,Area (m2),Length (m),Width (m),Price (million)/ m2,Total price (million)
07/27/2020,12,Long Bien,1,No,4,4,8,50.0,10.14,4.93,52.0,2600.0
07/27/2020,9,Minh Khai,1,No,4,3,7,31.0,8.86,3.5,62.9,1949.9
07/27/2020,9,Minh Khai,1,Yes,4,4,8,60.0,8.7,6.9,65.0,3900.0
07/27/2020,7,Nam Dong,1,Yes,4,4,8,48.0,9.6,5.0,73.96,3550.08
07/27/2020,7,Nga Tu So,1,No,5,3,7,32.0,9.14,3.5,131.25,4200.0
07/27/2020,7,Nga Tu So,1,Yes,6,5,10,60.0,9.23,6.5,95.83,5749.8
07/27/2020,6,Quan Hoa,2,Yes,3,3,7,56.0,8.62,6.5,332.14,18599.84
07/27/2020,8,Quang Trung,2,Yes,4,3,8,45.0,9.0,5.0,74.44,3349.8
07/27/2020,7,Quoc Tu Giam,1,Yes,5,3,7,30.0,10.0,3.0,83.33,2499.9
07/27/2020,7,Quoc Tu Giam,1,Yes,4,4,8,55.0,13.75,4.0,72.73,4000.15
07/27/2020,11,Tan Mai,2,Yes,4,4,9,50.0,8.05,6.21,92.0,4600.0
07/27/2020,15,Thanh Xuan Nam,2,Yes,4,4,9,55.0,11.0,5.0,100.0,5500.0
07/27/2020,13,Trung Van,2,Yes,4,4,9,90.0,12.0,7.5,83.33,7499.7
07/27/2020,6,Yen Hoa,2,Yes,5,4,10,55.0,11.0,5.0,170.0,9350.0
07/28/2020,14,Buoi,1,Yes,5,4,8,45.0,7.5,6.0,111.11,4999.95
07/28/2020,7,Cat Linh,1,No,4,3,7,25.0,6.58,3.8,76.0,1900.0
07/28/2020,4,Cong Vi,2,Yes,7,1,9,60.0,9.23,6.5,275.0,16500.0
07/28/2020,6,Dich Vong,1,No,4,6,11,32.0,8.89,3.6,100.0,3200.0
07/28/2020,4,Doi Can,2,Yes,3,2,6,41.0,8.2,5.0,153.66,6300.06
07/28/2020,8,Duong Noi,1,No,4,3,7,40.0,11.43,3.5,45.0,1800.0
07/28/2020,11,Giap Bat,2,Yes,5,4,10,42.0,8.4,5.0,67.86,2850.12
07/28/2020,8,Ha Cau,1,Yes,5,4,8,40.0,11.43,3.5,50.0,2000.0
07/28/2020,11,Hoang Van Thu,1,Yes,5,4,8,40.0,11.2,3.57,70.0,2800.0
07/28/2020,11,Hoang Van Thu,1,Yes,5,3,7,40.0,11.43,3.5,68.75,2750.0
07/28/2020,15,Khuong Dinh,1,Yes,5,3,7,43.0,7.41,5.8,56.98,2450.14
07/28/2020,15,Khuong Mai,1,No,5,5,10,49.0,8.91,5.5,114.29,5600.21
07/28/2020,2,Kim Chung,1,Yes,5,4,8,45.0,9.0,5.0,46.67,2100.15
07/28/2020,7,Lang Ha,1,Yes,4,3,7,34.0,9.69,3.51,86.76,2949.84
07/28/2020,6,Mai Dich,1,Yes,5,3,7,40.0,11.59,3.45,80.0,3200.0
07/28/2020,6,Nghia Tan,1,Yes,5,6,11,50.0,10.0,5.0,102.0,5100.0
07/28/2020,15,Nhan Chinh,1,Yes,6,3,7,30.0,10.0,3.0,131.67,3950.1
07/28/2020,8,Phu La,2,Yes,7,6,14,60.0,9.52,6.3,183.33,10999.8
07/28/2020,11,Tan Mai,1,No,4,4,8,54.0,10.8,5.0,105.56,5700.24
07/28/2020,3,Thanh Liet,1,Yes,4,3,7,35.0,10.0,3.5,72.86,2550.1
07/28/2020,11,Thinh Liet,1,Yes,5,3,7,40.0,11.9,3.36,75.0,3000.0
07/28/2020,14,Thuy Khue,1,Yes,6,3,7,42.0,8.4,5.0,154.76,6499.92
07/28/2020,7,Trung Tu,2,Yes,5,4,10,40.0,11.43,3.5,87.5,3500.0
07/28/2020,4,Vinh Phuc,1,Yes,5,3,7,32.0,9.14,3.5,90.31,2889.92
07/28/2020,6,Yen Hoa,1,Yes,5,4,8,34.0,8.72,3.9,108.82,3699.88
07/29/2020,9,Bach Mai,1,Yes,4,4,8,35.0,9.51,3.68,108.57,3799.95
07/29/2020,9,Bach Mai,1,No,4,4,8,50.0,10.0,5.0,90.0,4500.0
07/29/2020,9,Bach Mai,1,Yes,3,3,7,51.0,10.2,5.0,52.94,2699.94
07/29/2020,12,Bo De,2,Yes,5,2,8,55.0,11.0,5.0,106.36,5849.8
07/29/2020,14,Buoi,1,Yes,4,4,8,33.0,10.65,3.1,90.91,3000.03
07/29/2020,13,Cau Dien,2,Yes,2,2,5,40.0,12.01,3.33,85.0,3400.0
07/29/2020,4,Cong Vi,1,No,5,3,7,25.0,6.25,4.0,96.0,2400.0
07/29/2020,4,Cong Vi,1,No,5,3,7,26.0,8.13,3.2,91.92,2389.92
07/29/2020,1,Da Ton,1,Yes,4,3,7,48.0,8.89,5.4,38.54,1849.92
07/29/2020,11,Dinh Cong,1,Yes,5,3,7,46.0,8.85,5.2,67.39,3099.94
07/29/2020,11,Dinh Cong,1,No,5,3,7,49.0,9.8,5.0,63.27,3100.23
07/29/2020,4,Doi Can,1,No,5,4,8,28.0,8.36,3.35,100.0,2800.0
07/29/2020,4,Doi Can,1,Yes,5,3,7,35.0,9.97,3.51,128.57,4499.95
