Date,District,Ward,Types of houses,Floors,Rooms,Area,Price (million)/m2,Total Price (million)
08/03/2020,0.995779062100392,1302,2,-0.40240091323878513,1.6728504137969196,-0.037421755833920246,-0.008474431447871616,-0.04331980759709757
07/14/2020,0.42090372205833043,1101,3,-0.40240091323878513,0.12316058118968629,-0.015964850573529234,-0.48683821673562355,-0.04845871489007668
08/04/2020,-0.44140928800476187,802,3,-0.40240091323878513,0.12316058118968629,-0.037421755833920246,-0.5764036583720323,-0.07756064474826836
08/02/2020,0.995779062100392,1302,3,-0.40240091323878513,0.12316058118968629,-0.04385882741203755,-0.48683821673562355,-0.07927127434782667
07/29/2020,1.5706544021424536,1501,3,0.5488367485298231,-0.6516843351139304,-0.051368744253174406,-0.29326953759274327,-0.07926802187485643
06/09/2020,-0.7288469580257927,702,3,0.5488367485298231,-0.6516843351139304,-0.042785982149018,-0.2214638625575625,-0.06386430988780004
07/02/2020,1.5706544021424536,1501,3,-0.40240091323878513,0.12316058118968629,-0.037421755833920246,-0.2498283818775093,-0.057871200483163174
08/04/2020,-0.7288469580257927,703,3,-1.3536385750073934,-1.4265292514175472,-0.02347476741466609,-1.3008488139760799,-0.12000952539680944
07/14/2020,0.42090372205833043,1101,3,-0.40240091323878513,0.12316058118968629,-0.02347476741466609,-0.5452282407410998,-0.06129177495112814
06/23/2020,0.42090372205833043,1101,3,0.5488367485298231,1.6728504137969196,-0.03205752951882249,-0.4770000726471736,-0.0655761377668737
07/31/2020,0.995779062100392,1303,3,0.5488367485298231,-0.6516843351139304,-0.05029589899015485,-0.3259781724842135,-0.0792697337027355
08/03/2020,-0.7288469580257927,703,3,-0.40240091323878513,-1.4265292514175472,-0.059951506357330805,-0.14697505731644087,-0.08611944177806082
08/04/2020,-0.44140928800476187,802,2,0.5488367485298231,0.12316058118968629,-0.03205752951882249,-0.19591024154860137,-0.04674603109706348
08/01/2020,-0.7288469580257927,703,2,-1.3536385750073934,-0.6516843351139304,-0.010600624258431482,-0.16665134549334082,-0.01250433803195314
07/30/2020,-0.7288469580257927,703,3,0.5488367485298231,0.12316058118968629,-0.049223053727135306,-0.26286072859207943,-0.07499393002638531
08/04/2020,-1.3037222980678542,501,2,0.5488367485298231,-0.6516843351139304,-0.037421755833920246,-0.5480391390520856,-0.07585052869707377
08/01/2020,-1.3037222980678542,501,2,-2.3048762367760016,-1.4265292514175472,-0.037421755833920246,-0.6047681776919791,-0.07927076079946294
06/09/2020,0.42090372205833043,1101,3,0.5488367485298231,0.12316058118968629,-0.04600451793807665,-0.4218042512678177,-0.07841758578453263
07/29/2020,-1.591159968088885,401,3,0.5488367485298231,-0.6516843351139304,-0.05887866109431126,-0.14480299953067916,-0.0844062444366839
07/29/2020,0.7083413920793612,1201,2,0.5488367485298231,-1.4265292514175472,-0.02669330320372474,-0.012435242704260616,-0.025351606264400927
07/26/2020,0.7083413920793612,1201,3,-0.40240091323878513,-0.6516843351139304,-0.053514434779213506,-0.07235848397027439,-0.07327765139482606
06/09/2020,0.7083413920793612,1201,3,0.5488367485298231,0.12316058118968629,-0.021329076888626987,-0.24280113610004506,-0.034766659599306034
08/02/2020,-0.1539716179837311,902,2,-1.3536385750073934,-1.4265292514175472,-0.059951506357330805,-0.4184822805366527,-0.09484976396133647
08/05/2020,0.42090372205833043,1102,3,0.5488367485298231,0.12316058118968629,-0.053514434779213506,-0.3066851886224478,-0.08269612838548933
08/03/2020,0.42090372205833043,1102,3,0.5488367485298231,0.12316058118968629,-0.0470773632010962,-0.39535625352354287,-0.07841416212877449
08/01/2020,-0.44140928800476187,802,2,0.5488367485298231,-0.6516843351139304,-0.04815020846411575,-0.4040444846665897,-0.08012924248081837
08/03/2020,0.42090372205833043,1102,2,0.5488367485298231,0.8980054974933029,-0.02776614846674429,-0.07005865807946798,-0.031341292013279655
08/01/2020,0.42090372205833043,1102,3,0.5488367485298231,0.12316058118968629,-0.04815020846411575,-0.6413098557347935,-0.09125526778085762
07/28/2020,-0.44140928800476187,802,3,0.5488367485298231,0.12316058118968629,-0.042785982149018,-0.7325362827367847,-0.09125355595297853
07/14/2020,-0.44140928800476187,802,3,-0.40240091323878513,0.12316058118968629,-0.042785982149018,-0.12563778377395832,-0.05872882625057907
06/09/2020,1.5706544021424536,1501,3,-0.40240091323878513,0.12316058118968629,-0.015964850573529234,-0.49667636082407374,-0.049315484743553045
08/01/2020,0.42090372205833043,1102,3,-2.3048762367760016,-1.4265292514175472,-0.05104689067426854,-0.45297966889875024,-0.0857461948273076
08/01/2020,-1.3037222980678542,502,3,-0.40240091323878513,0.12316058118968629,-0.03205752951882249,-0.6175449881964598,-0.0749911911017788
08/01/2020,-1.3037222980678542,502,2,-2.3048762367760016,-1.4265292514175472,-0.037421755833920246,-0.6047681776919791,-0.07927076079946294
07/30/2020,-0.7288469580257927,703,3,-0.40240091323878513,-0.6516843351139304,-0.055660125305252606,0.14816926533706007,-0.06848556043014728
08/04/2020,-0.44140928800476187,803,1,-1.3536385750073934,0.8980054974933029,0.12886925993411008,-0.7676725116241062,0.03627762103800883
08/02/2020,-0.44140928800476187,803,3,0.5488367485298231,1.6728504137969196,-0.042785982149018,-0.5408841251695764,-0.0809825886785366
08/01/2020,-0.44140928800476187,803,2,0.5488367485298231,0.8980054974933029,-0.04815020846411575,0.08888486459627028,-0.0570144306296868
07/31/2020,-0.44140928800476187,803,3,0.5488367485298231,0.12316058118968629,-0.05029589899015485,-0.596974323284246,-0.09125133057673573
08/04/2020,-1.8785976381099156,304,3,-1.3536385750073934,-0.6516843351139304,-0.0470773632010962,-0.6658413319033962,-0.09146034476077063
08/01/2020,-0.1539716179837311,902,3,-1.3536385750073934,0.12316058118968629,-0.03205752951882249,-0.579214556683018,-0.07242344928316832
07/29/2020,-0.7288469580257927,703,3,-2.3048762367760016,-1.4265292514175472,-0.042785982149018,-0.7005942564755833,-0.08954172807390487
07/14/2020,-0.1539716179837311,902,3,0.5488367485298231,0.12316058118968629,-0.03205752951882249,0.11073321055893194,-0.02620409654817961
08/01/2020,0.42090372205833043,1102,3,-0.40240091323878513,0.12316058118968629,-0.029911838992783393,-0.47457247865132235,-0.06301045014171809
06/09/2020,-1.0162846280468234,601,2,-1.3536385750073934,-1.4265292514175472,-0.021329076888626987,1.0775544614329755,0.07137351621477693
07/29/2020,-0.7288469580257927,703,3,-0.40240091323878513,-0.6516843351139304,-0.051368744253174406,-0.27333771320575356,-0.07841347739762286
08/04/2020,-1.0162846280468234,602,3,-0.40240091323878513,0.8980054974933029,-0.037421755833920246,0.04825460719202202,-0.0398995754947084
08/01/2020,-1.0162846280468234,602,3,-0.40240091323878513,0.12316058118968629,-0.042785982149018,-0.31728994134116667,-0.068999793525021
08/02/2020,1.5706544021424536,1502,3,0.5488367485298231,-0.6516843351139304,-0.05458728004223306,-0.38002408091816614,-0.08697408896496713
07/27/2020,-0.44140928800476187,803,4,-1.3536385750073934,-0.6516843351139304,-0.028838993729763843,-0.28994756686157824,-0.048698884341510706
07/30/2020,0.42090372205833043,1102,3,-0.40240091323878513,-1.4265292514175472,-0.039567446359959346,-0.8365395202432564,-0.09467755407670167
08/04/2020,-0.44140928800476187,804,2,0.5488367485298231,0.8980054974933029,0.010856281001959529,0.019890087872075204,0.042270730442645704
08/04/2020,-0.44140928800476187,804,3,-1.3536385750073934,-1.4265292514175472,-0.04600451793807665,-0.687689677866058,-0.09159814690503607
07/26/2020,-0.7288469580257927,703,3,-0.40240091323878513,-1.4265292514175472,-0.05887866109431126,-0.6814290407188625,-0.1023804371669573
07/14/2020,-0.7288469580257927,703,3,-0.40240091323878513,-1.4265292514175472,-0.053514434779213506,-0.3917787465822883,-0.08611636048787849
07/14/2020,-0.7288469580257927,703,3,-1.3536385750073934,-0.6516843351139304,-0.053514434779213506,-0.5622213987120589,-0.09296709565993126
07/29/2020,0.42090372205833043,1102,3,0.5488367485298231,-0.6516843351139304,-0.03313037478184205,-0.5629880073423277,-0.07241951207904646
07/02/2020,0.995779062100392,1303,3,-1.3536385750073934,-0.6516843351139304,-0.03205752951882249,-0.09369575751275694,-0.039898719580768856
08/04/2020,-0.44140928800476187,804,3,0.5488367485298231,-0.6516843351139304,-0.049223053727135306,-0.5633713116574621,-0.08868307520976153
07/29/2020,0.42090372205833043,1102,3,0.5488367485298231,-0.6516843351139304,-0.03634891057090069,-0.5103475480638678,-0.07242447637989576
07/28/2020,-1.591159968088885,401,2,2.4513120720670396,-2.2013741677211636,-0.021329076888626987,2.1422460807713404,0.15696148651270156
07/31/2020,-0.7288469580257927,704,2,0.5488367485298231,1.6728504137969196,-0.037421755833920246,0.9568136021656343,0.014878060721709049
08/01/2020,-0.1539716179837311,903,3,-0.40240091323878513,-1.4265292514175472,-0.05887866109431126,-0.37478558861132916,-0.09210946989251535
08/01/2020,-0.1539716179837311,903,2,0.5488367485298231,1.6728504137969196,-0.010600624258431482,-0.0024693305107657687,0.002893553740314394
08/01/2020,1.5706544021424536,1502,3,0.5488367485298231,-0.6516843351139304,-0.04815020846411575,-0.19220496650230195,-0.07019550529855396
07/30/2020,1.5706544021424536,1502,3,0.5488367485298231,0.8980054974933029,-0.03634891057090069,0.5174190889165482,-0.009082736467260715
07/25/2020,-1.591159968088885,401,2,2.4513120720670396,0.8980054974933029,-0.015964850573529234,1.7736350977170763,0.1483980675476356
08/01/2020,1.2832167321214227,1401,3,0.5488367485298231,-0.6516843351139304,-0.0384946010969398,-0.006557909872199641,-0.04503283375568657
